Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season
F1,07/08/10,00:00,Auxerre,Lorient,2.0,2.0,D,1.0,1.0,D,11.0,10.0,6.0,2.0,3.0,3.0,14.0,9.0,3.0,3.0,0.0,0.0,
F1,07/08/10,00:00,Lens,Nancy,1.0,2.0,A,0.0,1.0,A,17.0,19.0,6.0,6.0,2.0,4.0,17.0,18.0,3.0,1.0,0.0,1.0,
F1,07/08/10,00:00,Lyon,Monaco,0.0,0.0,D,0.0,0.0,D,16.0,9.0,5.0,4.0,3.0,5.0,14.0,24.0,2.0,3.0,0.0,0.0,
F1,07/08/10,00:00,Marseille,Caen,1.0,2.0,A,0.0,0.0,D,16.0,12.0,3.0,2.0,6.0,3.0,16.0,23.0,2.0,3.0,0.0,0.0,
F1,07/08/10,00:00,Nice,Valenciennes,0.0,0.0,D,0.0,0.0,D,10.0,11.0,2.0,1.0,4.0,6.0,11.0,20.0,0.0,3.0,0.0,0.0,
F1,07/08/10,00:00,Paris SG,St Etienne,3.0,1.0,H,2.0,1.0,H,19.0,14.0,6.0,5.0,6.0,7.0,11.0,12.0,2.0,1.0,0.0,0.0,
F1,07/08/10,00:00,Rennes,Lille,1.0,1.0,D,1.0,0.0,H,20.0,14.0,5.0,5.0,6.0,3.0,23.0,21.0,3.0,3.0,0.0,0.0,
F1,07/08/10,00:00,Sochaux,Arles,2.0,1.0,H,1.0,1.0,D,14.0,10.0,6.0,1.0,10.0,3.0,16.0,19.0,2.0,4.0,0.0,0.0,
F1,07/08/10,00:00,Toulouse,Brest,2.0,0.0,H,1.0,0.0,H,9.0,9.0,4.0,1.0,2.0,3.0,21.0,18.0,3.0,2.0,0.0,0.0,
F1,08/08/10,00:00,Montpellier,Bordeaux,1.0,0.0,H,0.0,0.0,D,9.0,8.0,3.0,1.0,5.0,1.0,22.0,13.0,5.0,2.0,0.0,0.0,
F1,14/08/10,00:00,Arles,Lens,0.0,1.0,A,0.0,0.0,D,11.0,10.0,3.0,4.0,4.0,4.0,13.0,17.0,1.0,0.0,0.0,0.0,
F1,15/08/10,00:00,Bordeaux,Toulouse,1.0,2.0,A,0.0,1.0,A,10.0,6.0,3.0,3.0,4.0,1.0,17.0,22.0,2.0,4.0,0.0,0.0,
F1,14/08/10,00:00,Brest,Auxerre,1.0,1.0,D,1.0,0.0,H,11.0,12.0,3.0,4.0,8.0,7.0,29.0,16.0,2.0,3.0,0.0,0.0,
F1,15/08/10,00:00,Caen,Lyon,3.0,2.0,H,2.0,2.0,D,12.0,16.0,7.0,2.0,4.0,2.0,16.0,17.0,2.0,1.0,0.0,1.0,
F1,15/08/10,00:00,Lille,Paris SG,0.0,0.0,D,0.0,0.0,D,11.0,10.0,1.0,4.0,5.0,1.0,16.0,14.0,1.0,4.0,0.0,0.0,
F1,14/08/10,00:00,Lorient,Nice,1.0,2.0,A,1.0,1.0,D,11.0,14.0,2.0,5.0,5.0,5.0,11.0,15.0,1.0,2.0,0.0,0.0,
F1,14/08/10,00:00,Nancy,Rennes,0.0,3.0,A,0.0,0.0,D,9.0,15.0,2.0,6.0,5.0,2.0,13.0,13.0,0.0,0.0,1.0,0.0,
F1,14/08/10,00:00,St Etienne,Sochaux,3.0,2.0,H,1.0,0.0,H,17.0,16.0,7.0,6.0,7.0,10.0,20.0,14.0,2.0,1.0,0.0,0.0,
F1,14/08/10,00:00,Valenciennes,Marseille,3.0,2.0,H,0.0,0.0,D,13.0,14.0,6.0,3.0,2.0,6.0,20.0,10.0,3.0,4.0,0.0,0.0,
F1,17/08/10,00:00,Monaco,Montpellier,0.0,0.0,D,0.0,0.0,D,10.0,19.0,2.0,4.0,1.0,1.0,17.0,12.0,1.0,3.0,0.0,0.0,
F1,21/08/10,00:00,Auxerre,Valenciennes,1.0,1.0,D,0.0,0.0,D,9.0,7.0,2.0,2.0,7.0,4.0,19.0,11.0,3.0,2.0,0.0,0.0,
F1,21/08/10,00:00,Lens,Monaco,2.0,2.0,D,0.0,1.0,A,23.0,7.0,6.0,2.0,7.0,0.0,3.0,20.0,1.0,5.0,0.0,0.0,
F1,21/08/10,00:00,Lyon,Brest,1.0,0.0,H,1.0,0.0,H,13.0,18.0,7.0,3.0,6.0,6.0,15.0,19.0,1.0,3.0,0.0,0.0,
F1,21/08/10,00:00,Marseille,Lorient,2.0,0.0,H,1.0,0.0,H,16.0,12.0,6.0,5.0,5.0,3.0,19.0,15.0,2.0,3.0,0.0,0.0,
F1,21/08/10,00:00,Nice,Nancy,1.0,1.0,D,1.0,0.0,H,9.0,13.0,4.0,6.0,3.0,3.0,12.0,17.0,1.0,3.0,0.0,1.0,
F1,21/08/10,00:00,Rennes,St Etienne,0.0,0.0,D,0.0,0.0,D,19.0,9.0,2.0,2.0,5.0,0.0,18.0,19.0,2.0,2.0,0.0,0.0,
F1,21/08/10,00:00,Toulouse,Arles,2.0,1.0,H,1.0,0.0,H,8.0,8.0,3.0,3.0,5.0,1.0,22.0,15.0,3.0,2.0,0.0,0.0,
F1,22/08/10,00:00,Montpellier,Caen,0.0,0.0,D,0.0,0.0,D,19.0,2.0,5.0,0.0,4.0,1.0,17.0,23.0,2.0,2.0,0.0,0.0,
