Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,Prev_Season,Market_Value_Home,Market_Value_Away,Strength_Rank_Based_Home,Pythagorean_Exp_Home,Avg_Goals_Scored_Home,Home_Dependency_Home,Strength_Rank_Based_Away,Pythagorean_Exp_Away,Avg_Goals_Scored_Away,Home_Dependency_Away,Target,Log_Market_Value_Home,Log_Market_Value_Away
F1,07/08/10,00:00,Auxerre,Lorient,2.0,2.0,D,1.0,1.0,D,11.0,10.0,6.0,2.0,3.0,3.0,14.0,9.0,3.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Lens,Nancy,1.0,2.0,A,0.0,1.0,A,17.0,19.0,6.0,6.0,2.0,4.0,17.0,18.0,3.0,1.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Lyon,Monaco,0.0,0.0,D,0.0,0.0,D,16.0,9.0,5.0,4.0,3.0,5.0,14.0,24.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Marseille,Caen,1.0,2.0,A,0.0,0.0,D,16.0,12.0,3.0,2.0,6.0,3.0,16.0,23.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Nice,Valenciennes,0.0,0.0,D,0.0,0.0,D,10.0,11.0,2.0,1.0,4.0,6.0,11.0,20.0,0.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Paris SG,St Etienne,3.0,1.0,H,2.0,1.0,H,19.0,14.0,6.0,5.0,6.0,7.0,11.0,12.0,2.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Rennes,Lille,1.0,1.0,D,1.0,0.0,H,20.0,14.0,5.0,5.0,6.0,3.0,23.0,21.0,3.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Sochaux,Arles,2.0,1.0,H,1.0,1.0,D,14.0,10.0,6.0,1.0,10.0,3.0,16.0,19.0,2.0,4.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,07/08/10,00:00,Toulouse,Brest,2.0,0.0,H,1.0,0.0,H,9.0,9.0,4.0,1.0,2.0,3.0,21.0,18.0,3.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,08/08/10,00:00,Montpellier,Bordeaux,1.0,0.0,H,0.0,0.0,D,9.0,8.0,3.0,1.0,5.0,1.0,22.0,13.0,5.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,14/08/10,00:00,Arles,Lens,0.0,1.0,A,0.0,0.0,D,11.0,10.0,3.0,4.0,4.0,4.0,13.0,17.0,1.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,15/08/10,00:00,Bordeaux,Toulouse,1.0,2.0,A,0.0,1.0,A,10.0,6.0,3.0,3.0,4.0,1.0,17.0,22.0,2.0,4.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,14/08/10,00:00,Brest,Auxerre,1.0,1.0,D,1.0,0.0,H,11.0,12.0,3.0,4.0,8.0,7.0,29.0,16.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,15/08/10,00:00,Caen,Lyon,3.0,2.0,H,2.0,2.0,D,12.0,16.0,7.0,2.0,4.0,2.0,16.0,17.0,2.0,1.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,15/08/10,00:00,Lille,Paris SG,0.0,0.0,D,0.0,0.0,D,11.0,10.0,1.0,4.0,5.0,1.0,16.0,14.0,1.0,4.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,14/08/10,00:00,Lorient,Nice,1.0,2.0,A,1.0,1.0,D,11.0,14.0,2.0,5.0,5.0,5.0,11.0,15.0,1.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,14/08/10,00:00,Nancy,Rennes,0.0,3.0,A,0.0,0.0,D,9.0,15.0,2.0,6.0,5.0,2.0,13.0,13.0,0.0,0.0,1.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,14/08/10,00:00,St Etienne,Sochaux,3.0,2.0,H,1.0,0.0,H,17.0,16.0,7.0,6.0,7.0,10.0,20.0,14.0,2.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,14/08/10,00:00,Valenciennes,Marseille,3.0,2.0,H,0.0,0.0,D,13.0,14.0,6.0,3.0,2.0,6.0,20.0,10.0,3.0,4.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,17/08/10,00:00,Monaco,Montpellier,0.0,0.0,D,0.0,0.0,D,10.0,19.0,2.0,4.0,1.0,1.0,17.0,12.0,1.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Auxerre,Valenciennes,1.0,1.0,D,0.0,0.0,D,9.0,7.0,2.0,2.0,7.0,4.0,19.0,11.0,3.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Lens,Monaco,2.0,2.0,D,0.0,1.0,A,23.0,7.0,6.0,2.0,7.0,0.0,3.0,20.0,1.0,5.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Lyon,Brest,1.0,0.0,H,1.0,0.0,H,13.0,18.0,7.0,3.0,6.0,6.0,15.0,19.0,1.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Marseille,Lorient,2.0,0.0,H,1.0,0.0,H,16.0,12.0,6.0,5.0,5.0,3.0,19.0,15.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Nice,Nancy,1.0,1.0,D,1.0,0.0,H,9.0,13.0,4.0,6.0,3.0,3.0,12.0,17.0,1.0,3.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Rennes,St Etienne,0.0,0.0,D,0.0,0.0,D,19.0,9.0,2.0,2.0,5.0,0.0,18.0,19.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,21/08/10,00:00,Toulouse,Arles,2.0,1.0,H,1.0,0.0,H,8.0,8.0,3.0,3.0,5.0,1.0,22.0,15.0,3.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,22/08/10,00:00,Montpellier,Caen,0.0,0.0,D,0.0,0.0,D,19.0,2.0,5.0,0.0,4.0,1.0,17.0,23.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,22/08/10,00:00,Paris SG,Bordeaux,1.0,2.0,A,0.0,0.0,D,15.0,10.0,6.0,4.0,6.0,5.0,11.0,16.0,1.0,5.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,22/08/10,00:00,Sochaux,Lille,0.0,0.0,D,0.0,0.0,D,9.0,17.0,1.0,7.0,3.0,6.0,12.0,11.0,1.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,28/08/10,00:00,Arles,Rennes,0.0,1.0,A,0.0,1.0,A,12.0,7.0,4.0,1.0,6.0,1.0,11.0,16.0,1.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,28/08/10,00:00,Caen,Brest,0.0,2.0,A,0.0,0.0,D,7.0,16.0,1.0,4.0,6.0,6.0,22.0,17.0,4.0,2.0,1.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,28/08/10,00:00,Lorient,Lyon,2.0,0.0,H,1.0,0.0,H,15.0,14.0,7.0,4.0,3.0,8.0,17.0,12.0,0.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,28/08/10,00:00,Nancy,Toulouse,0.0,2.0,A,0.0,0.0,D,16.0,13.0,5.0,6.0,5.0,3.0,22.0,17.0,4.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,28/08/10,00:00,St Etienne,Lens,3.0,1.0,H,1.0,0.0,H,14.0,13.0,6.0,6.0,3.0,6.0,19.0,18.0,1.0,1.0,1.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,28/08/10,00:00,Valenciennes,Montpellier,0.0,1.0,A,0.0,1.0,A,9.0,15.0,2.0,5.0,5.0,1.0,19.0,16.0,3.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,29/08/10,00:00,Bordeaux,Marseille,1.0,1.0,D,0.0,1.0,A,14.0,8.0,4.0,5.0,9.0,4.0,14.0,20.0,1.0,2.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,29/08/10,00:00,Lille,Nice,1.0,1.0,D,0.0,1.0,A,17.0,7.0,5.0,3.0,18.0,3.0,13.0,25.0,0.0,5.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,29/08/10,00:00,Monaco,Auxerre,2.0,0.0,H,0.0,0.0,D,20.0,11.0,5.0,1.0,10.0,5.0,16.0,11.0,0.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,29/08/10,00:00,Sochaux,Paris SG,3.0,1.0,H,3.0,0.0,H,15.0,19.0,7.0,8.0,7.0,10.0,14.0,15.0,2.0,1.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Auxerre,Caen,1.0,1.0,D,1.0,0.0,H,11.0,12.0,5.0,2.0,1.0,5.0,18.0,16.0,0.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Lens,Lille,1.0,4.0,A,0.0,1.0,A,8.0,19.0,5.0,6.0,2.0,9.0,16.0,19.0,0.0,3.0,2.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Lyon,Valenciennes,1.0,1.0,D,1.0,0.0,H,17.0,11.0,2.0,5.0,9.0,4.0,9.0,19.0,0.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Montpellier,Nancy,1.0,2.0,A,0.0,2.0,A,17.0,15.0,4.0,5.0,9.0,2.0,12.0,11.0,2.0,2.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Paris SG,Arles,4.0,0.0,H,2.0,0.0,H,22.0,11.0,7.0,5.0,10.0,5.0,8.0,16.0,0.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Rennes,Sochaux,2.0,1.0,H,1.0,1.0,D,17.0,15.0,5.0,9.0,9.0,3.0,17.0,17.0,3.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,11/09/10,00:00,Toulouse,St Etienne,0.0,1.0,A,0.0,1.0,A,11.0,9.0,0.0,3.0,3.0,3.0,16.0,13.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,12/09/10,00:00,Brest,Lorient,0.0,0.0,D,0.0,0.0,D,17.0,9.0,2.0,1.0,5.0,5.0,23.0,18.0,0.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,12/09/10,00:00,Marseille,Monaco,2.0,2.0,D,1.0,1.0,D,26.0,8.0,10.0,4.0,3.0,2.0,14.0,23.0,1.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,12/09/10,00:00,Nice,Bordeaux,2.0,1.0,H,1.0,0.0,H,12.0,13.0,6.0,4.0,6.0,1.0,18.0,21.0,4.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,18/09/10,00:00,Arles,Marseille,0.0,3.0,A,0.0,2.0,A,16.0,15.0,6.0,8.0,9.0,3.0,14.0,12.0,2.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,18/09/10,00:00,Lorient,Caen,0.0,1.0,A,0.0,1.0,A,18.0,13.0,4.0,4.0,4.0,1.0,12.0,17.0,1.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,18/09/10,00:00,Monaco,Toulouse,0.0,0.0,D,0.0,0.0,D,9.0,10.0,2.0,5.0,2.0,5.0,13.0,14.0,4.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
