Season_Start_Year,Season,Team,Total_Market_Value_Millions
2010,2010-2011,Olympique Lyon,190.25
2010,2010-2011,Olympique Marseille,167.9
2010,2010-2011,LOSC Lille,127.4
2010,2010-2011,FC Girondins Bordeaux,123.65
2010,2010-2011,Stade Rennais FC,108.95
2010,2010-2011,Paris Saint-Germain,100.2
2010,2010-2011,FC Toulouse,80.63
2010,2010-2011,AS Monaco,75.4
2010,2010-2011,AS Saint-Étienne,72.05
2010,2010-2011,AJ Auxerre,66.15
2010,2010-2011,OGC Nice,63.5
2010,2010-2011,FC Lorient,62.75
2010,2010-2011,FC Sochaux-Montbéliard,60.1
2010,2010-2011,Valenciennes FC,57.45
2010,2010-2011,AS Nancy-Lorraine,52.65
2010,2010-2011,Montpellier HSC,51.35
2010,2010-2011,RC Lens,45.6
2010,2010-2011,SM Caen,36.1
2010,2010-2011,Stade Brestois 29,34.1
2010,2010-2011,AC Arles-Avignon,19.95
2011,2011-2012,Paris Saint-Germain,211.1
2011,2011-2012,Olympique Lyon,163.85
2011,2011-2012,Olympique Marseille,146.5
2011,2011-2012,LOSC Lille,145.35
2011,2011-2012,Stade Rennais FC,101.8
2011,2011-2012,Montpellier HSC,86.2
2011,2011-2012,AS Saint-Étienne,85.6
2011,2011-2012,FC Toulouse,83.05
2011,2011-2012,FC Girondins Bordeaux,82.05
2011,2011-2012,FC Sochaux-Montbéliard,58.8
2011,2011-2012,FC Lorient,54.05
2011,2011-2012,AS Nancy-Lorraine,53.9
2011,2011-2012,OGC Nice,52.45
2011,2011-2012,AJ Auxerre,50.9
2011,2011-2012,Valenciennes FC,44.5
2011,2011-2012,Stade Brestois 29,43.2
2011,2011-2012,Dijon FCO,36.8
2011,2011-2012,FC Évian Thonon Gaillard,32.9
2011,2011-2012,SM Caen,31.8
2011,2011-2012,AC Ajaccio,26.55
2012,2012-2013,Paris Saint-Germain,313.6
2012,2012-2013,Olympique Lyon,155.65
2012,2012-2013,Olympique Marseille,150.65
2012,2012-2013,LOSC Lille,114.6
2012,2012-2013,Stade Rennais FC,97.8
2012,2012-2013,AS Saint-Étienne,97.6
2012,2012-2013,FC Toulouse,82.0
2012,2012-2013,FC Girondins Bordeaux,80.95
2012,2012-2013,Montpellier HSC,78.7
2012,2012-2013,FC Lorient,63.75
2012,2012-2013,OGC Nice,59.15
